"n","b1","power"
10,"-1.5",0.92
10,"-1.25",0.84
10,"-1",0.56
20,"-1.5",1
20,"-1.25",0.88
20,"-1",0.52
30,"-1.5",1
30,"-1.25",0.76
30,"-1",0.68
40,"-1.5",0.96
40,"-1.25",0.84
40,"-1",0.52
50,"-1.5",0.92
50,"-1.25",0.96
50,"-1",0.48
60,"-1.5",0.92
60,"-1.25",0.8
60,"-1",0.76
70,"-1.5",0.96
70,"-1.25",0.84
70,"-1",0.56
80,"-1.5",0.92
80,"-1.25",0.76
80,"-1",0.52
90,"-1.5",1
90,"-1.25",0.88
90,"-1",0.48
100,"-1.5",1
100,"-1.25",0.84
100,"-1",0.56
110,"-1.5",0.84
110,"-1.25",0.76
110,"-1",0.6
120,"-1.5",0.88
120,"-1.25",0.76
120,"-1",0.72
130,"-1.5",0.88
130,"-1.25",0.76
130,"-1",0.68
140,"-1.5",0.88
140,"-1.25",0.76
140,"-1",0.72
150,"-1.5",0.96
150,"-1.25",0.88
150,"-1",0.72
160,"-1.5",0.96
160,"-1.25",0.76
160,"-1",0.56
170,"-1.5",0.96
170,"-1.25",0.72
170,"-1",0.52
180,"-1.5",0.92
180,"-1.25",0.88
180,"-1",0.6
190,"-1.5",0.96
190,"-1.25",0.76
190,"-1",0.4
200,"-1.5",0.84
200,"-1.25",0.72
200,"-1",0.52
210,"-1.5",0.92
210,"-1.25",0.84
210,"-1",0.68
220,"-1.5",1
220,"-1.25",0.72
220,"-1",0.6
230,"-1.5",1
230,"-1.25",0.8
230,"-1",0.64
240,"-1.5",0.84
240,"-1.25",0.84
240,"-1",0.52
250,"-1.5",0.96
250,"-1.25",0.92
250,"-1",0.56
260,"-1.5",0.96
260,"-1.25",0.8
260,"-1",0.6
270,"-1.5",0.88
270,"-1.25",0.8
270,"-1",0.6
280,"-1.5",1
280,"-1.25",0.8
280,"-1",0.52
290,"-1.5",0.92
290,"-1.25",0.92
290,"-1",0.52
300,"-1.5",0.92
300,"-1.25",0.64
300,"-1",0.64
